Amine_pct	Delta_H_x	Delta_S_x	Delta_H++	log_10.zeta_x	Delta_H_a	Delta_S_a	Delta_H_a++	log_10.zeta_a	Delta_H_b	Delta_S_b	Delta_H_b++	log_10.zeta_b	part_size
0.148486712027498	-92195.1209848821	-229.546287009311	52908.5302876445	1.18993761998816	-61307.7588800205	-273.356989619148	69156.6927783981	1.6691793454347	-73863.1670799111	-261.549306628923	68085.8194727861	2.15299812605651	118.008923870118
0.15923663896785	-95573.4842075786	-247.530638090529	54597.0147709277	1.5016652728534	-43649.787477845	-314.946056012575	87904.0580447858	1.96596515821234	-76312.7881037481	-290.164295552194	62371.3686388958	3.03290572762572	120.958990716617
0.143188718801972	-90974.2123501914	-227.83298650175	58155.0976428167	1.95536254492209	-95521.4656986844	-292.780096249825	10192.1446389669	1.53665731638648	-44197.9107983543	-303.171031961482	64718.2964538243	1.19185956067642	115.486496979421
0.159478122822997	-96490.0109756066	-247.177030069064	44717.9264676551	0.414333596444309	-41236.2516462455	-271.005418644908	94680.5129857658	1.23531534127795	-62126.3100024727	-209.737511774536	88379.809905247	0.83243860836439	113.480399507651
0.13782740970823	-91935.2857790508	-223.827685027215	55059.3492975785	1.24575770531039	-65627.3285356162	-312.006067005047	32324.0470824031	2.25523802040561	-30201.406879465	-200.14219528715	50951.6160233527	3.92528507650703	120.939347967866
0.134744244059341	-92887.7882601092	-224.421870879587	52639.5854760826	1.24773523102761	-68275.8975695829	-273.8717252218	71021.497145488	3.34984013564858	-32880.6219142762	-277.131294386822	80174.2348243766	2.94425541486019	112.5414528004
0.144162205826243	-87715.021631111	-224.064469553548	55243.04037894	1.46114904929688	-10251.0568081544	-255.661898209182	97748.3053706435	0.200787848636553	-35035.5400319587	-269.74511134232	110920.833199806	0.967892855684693	119.123745720154
0.153962490496744	-93263.9140860881	-248.052653727055	42954.784982176	0.862727436822647	-90935.8249253764	-246.012810519765	77020.732107247	1.74648285852759	-71815.0161253679	-304.104904221944	28026.1107786417	3.05482144370537	115.802756651972
0.153409257421111	-92697.809270533	-227.982372700429	55156.3818258671	1.32422301481483	-53512.4964752409	-214.826038203687	15820.4442824075	0.151089152027805	-121908.24848206	-309.293873115253	105566.311877624	3.48638971090021	119.926987780616
0.134858194075966	-99606.9631600017	-229.295069803943	53449.5543608617	1.44773637098894	-66540.0474005609	-298.737672902629	99581.3255133955	0.895973324187933	-49969.6732343314	-200.853503562428	67759.9749292323	1.09371992457545	113.104117813887
